timestamp, index, memory.used [MiB], utilization.gpu [%], clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active
2026/09/11 16:03:41.816, 4, 1, 0, 210, 405, 24.07, 32, 0x0000000000000001
2026/09/11 16:03:41.817, 5, 1, 0, 210, 405, 21.76, 30, 0x0000000000000001
2026/09/11 16:03:42.317, 0, 4, 0, 210, 405, 23.89, 30, 0x0000000000000001
2026/09/11 16:03:42.318, 1, 4, 0, 1935, 9751, 136.01, 42, 0x0000000000000000
2026/09/11 16:03:42.320, 2, 4, 0, 210, 405, 24.62, 31, 0x0000000000000001
2026/09/11 16:03:42.321, 3, 2, 0, 210, 405, 26.04, 33, 0x0000000000000001
2026/09/11 16:03:42.321, 4, 1, 0, 210, 405, 27.33, 33, 0x0000000000000001
2026/09/11 16:03:42.324, 5, 1, 0, 210, 405, 24.28, 31, 0x0000000000000001
2026/09/11 16:03:42.825, 0, 1, 0, 210, 405, 27.88, 30, 0x0000000000000001
2026/09/11 16:03:42.826, 1, 4, 0, 1935, 9751, 134.50, 42, 0x0000000000000000
2026/09/11 16:03:42.826, 2, 1, 0, 210, 405, 26.48, 31, 0x0000000000000001
2026/09/11 16:03:42.826, 3, 1, 0, 210, 405, 27.79, 33, 0x0000000000000001
2026/09/11 16:03:42.826, 4, 1, 0, 210, 405, 29.17, 33, 0x0000000000000001
2026/09/11 16:03:42.826, 5, 1, 0, 210, 405, 25.57, 31, 0x0000000000000001
2026/09/11 16:03:43.327, 0, 1, 0, 210, 405, 32.42, 30, 0x0000000000000001
2026/09/11 16:03:43.327, 1, 4, 0, 750, 9501, 131.75, 41, 0x0000000000000001
2026/09/11 16:03:43.327, 2, 1, 0, 210, 405, 30.50, 31, 0x0000000000000001
2026/09/11 16:03:43.327, 3, 1, 0, 210, 405, 31.90, 33, 0x0000000000000001
2026/09/11 16:03:43.328, 4, 1, 0, 210, 405, 33.07, 33, 0x0000000000000001
2026/09/11 16:03:43.328, 5, 1, 0, 210, 405, 28.30, 31, 0x0000000000000001
2026/09/11 16:03:43.828, 0, 1, 0, 210, 405, 32.27, 30, 0x0000000000000001
2026/09/11 16:03:43.828, 1, 4, 0, 750, 9501, 131.75, 41, 0x0000000000000001
2026/09/11 16:03:43.829, 2, 1, 0, 210, 405, 30.37, 31, 0x0000000000000001
2026/09/11 16:03:43.829, 3, 1, 0, 210, 405, 31.82, 33, 0x0000000000000001
2026/09/11 16:03:43.829, 4, 1, 0, 210, 405, 33.00, 33, 0x0000000000000001
2026/09/11 16:03:43.829, 5, 1, 0, 210, 405, 28.27, 31, 0x0000000000000001
2026/09/11 16:03:44.329, 0, 1, 0, 210, 405, 32.24, 30, 0x0000000000000001
2026/09/11 16:03:44.330, 1, 4, 0, 465, 5001, 75.71, 38, 0x0000000000000001
2026/09/11 16:03:44.330, 2, 1, 0, 210, 405, 30.37, 31, 0x0000000000000001
2026/09/11 16:03:44.330, 3, 1, 0, 210, 405, 31.82, 33, 0x0000000000000001
2026/09/11 16:03:44.330, 4, 1, 0, 210, 405, 33.00, 33, 0x0000000000000001
2026/09/11 16:03:44.331, 5, 1, 0, 210, 405, 28.27, 31, 0x0000000000000001
2026/09/11 16:03:44.831, 0, 1, 0, 210, 405, 32.24, 30, 0x0000000000000001
2026/09/11 16:03:44.831, 1, 4, 0, 465, 5001, 75.71, 38, 0x0000000000000001
2026/09/11 16:03:44.832, 2, 1, 0, 210, 405, 22.71, 31, 0x0000000000000001
2026/09/11 16:03:44.832, 3, 1, 0, 210, 405, 23.93, 33, 0x0000000000000001
2026/09/11 16:03:44.832, 4, 1, 0, 210, 405, 25.29, 33, 0x0000000000000001
2026/09/11 16:03:44.832, 5, 1, 0, 210, 405, 22.71, 31, 0x0000000000000001
