timestamp, index, memory.used [MiB], utilization.gpu [%], clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active
2026/09/12 02:12:00.809, 4, 1, 0, 210, 405, 24.58, 37, 0x0000000000000001
2026/09/12 02:12:00.809, 5, 1, 0, 210, 405, 22.51, 36, 0x0000000000000001
2026/09/12 02:12:01.310, 0, 4, 0, 210, 405, 22.62, 36, 0x0000000000000001
2026/09/12 02:12:01.311, 1, 4, 0, 1950, 9751, 161.99, 48, 0x0000000000000000
2026/09/12 02:12:01.311, 2, 4, 0, 210, 405, 21.59, 36, 0x0000000000000001
2026/09/12 02:12:01.313, 3, 14880, 91, 1635, 9501, 261.97, 75, 0x0000000000000004
2026/09/12 02:12:01.314, 4, 1, 0, 210, 405, 24.58, 37, 0x0000000000000001
2026/09/12 02:12:01.314, 5, 1, 0, 210, 405, 22.51, 36, 0x0000000000000001
2026/09/12 02:12:01.815, 0, 1, 0, 210, 405, 26.38, 37, 0x0000000000000001
2026/09/12 02:12:01.816, 1, 4, 0, 1950, 9751, 138.94, 48, 0x0000000000000000
2026/09/12 02:12:01.816, 2, 1, 0, 210, 405, 24.92, 36, 0x0000000000000001
2026/09/12 02:12:01.816, 3, 14880, 92, 1635, 9501, 267.09, 75, 0x0000000000000004
2026/09/12 02:12:01.816, 4, 1, 0, 210, 405, 27.83, 37, 0x0000000000000001
2026/09/12 02:12:01.816, 5, 1, 0, 210, 405, 24.94, 37, 0x0000000000000001
2026/09/12 02:12:02.317, 0, 1, 0, 210, 405, 28.51, 37, 0x0000000000000001
2026/09/12 02:12:02.317, 1, 4, 0, 1695, 9751, 132.65, 47, 0x0000000000000000
2026/09/12 02:12:02.317, 2, 1, 0, 210, 405, 26.50, 37, 0x0000000000000001
2026/09/12 02:12:02.318, 3, 14882, 93, 1635, 9501, 280.07, 75, 0x0000000000000024
2026/09/12 02:12:02.318, 4, 1, 0, 210, 405, 29.68, 37, 0x0000000000000001
2026/09/12 02:12:02.318, 5, 1, 0, 210, 405, 26.34, 37, 0x0000000000000001
2026/09/12 02:12:02.818, 0, 1, 0, 210, 405, 33.67, 36, 0x0000000000000001
2026/09/12 02:12:02.818, 1, 4, 0, 1695, 9751, 130.12, 46, 0x0000000000000001
2026/09/12 02:12:02.818, 2, 1, 0, 210, 405, 30.33, 37, 0x0000000000000001
2026/09/12 02:12:02.819, 3, 14884, 96, 1635, 9501, 279.48, 75, 0x0000000000000004
2026/09/12 02:12:02.819, 4, 1, 0, 210, 405, 34.08, 37, 0x0000000000000001
2026/09/12 02:12:02.819, 5, 1, 0, 210, 405, 29.63, 37, 0x0000000000000001
2026/09/12 02:12:03.319, 0, 1, 0, 210, 405, 33.62, 37, 0x0000000000000001
2026/09/12 02:12:03.319, 1, 4, 0, 1695, 9751, 130.12, 46, 0x0000000000000001
2026/09/12 02:12:03.320, 2, 1, 0, 210, 405, 30.27, 37, 0x0000000000000001
2026/09/12 02:12:03.320, 3, 15122, 88, 1665, 9501, 279.99, 75, 0x0000000000000024
2026/09/12 02:12:03.320, 4, 1, 0, 210, 405, 34.03, 37, 0x0000000000000001
2026/09/12 02:12:03.320, 5, 1, 0, 210, 405, 29.58, 37, 0x0000000000000001
2026/09/12 02:12:03.820, 0, 1, 0, 210, 405, 33.62, 37, 0x0000000000000001
2026/09/12 02:12:03.821, 1, 4, 0, 510, 5001, 87.85, 44, 0x0000000000000001
